name,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,cluster,html,id,sh_score
Mariana                                                                                                                                                                          ,Bïa                                             ,0.8501212254793916,0.42998842876510396,0.7911165515432368,0.0,0.1452837007589447,0.5060240963855422,0.0,0.22753816207355806,0.8249430287963537,0.75,5,https://open.spotify.com/track/4Lx7fiZRVb7j4U1xFZ9fyo,4Lx7fiZRVb7j4U1xFZ9fyo ,0.4140012803425686
Mariana                                                                                                                                                                          ,Seu Jorge                                       ,0.6142825655719638,0.5259903776046655,0.7381306286613621,0.0,0.027105168052041925,0.5401606425702812,0.3949238578680203,0.09640405696137692,0.9440646364201367,0.75,5,https://open.spotify.com/track/2BkIiZYOniMrWBBlADyVNX,2BkIiZYOniMrWBBlADyVNX ,0.25393568115975207
Carnaval Inesquecível Na Cidade Alta                                                                                                                                             ,Mundo Livre S/A                                 ,0.7564469914040115,0.5569910069174405,0.7574101600069948,1.0,0.06920852909288037,0.052108433734939764,0.0019086294416243653,0.04313082675955333,0.6975347006422208,0.75,4,https://open.spotify.com/track/4lnLWhIiUKxq4Rh898vkVk,4lnLWhIiUKxq4Rh898vkVk ,0.5111249247284346
Garota De Ipanema                                                                                                                                                                ,Leila Pinheiro                                  ,0.7388141944015869,0.1449826431476559,0.5617513333916235,1.0,0.0513191181785327,0.8785140562248996,1.4010152284263958e-05,0.12304067206228873,0.5597679718251503,0.75,2,https://open.spotify.com/track/1b0Mc4h1XFArQAnQYBmIQb,1b0Mc4h1XFArQAnQYBmIQb ,0.09677084547192946
Corcovado - Remastered                                                                                                                                                           ,Cannonball Adderley                             ,0.7839982367202998,0.27798534310246503,0.595982338025706,1.0,0.044271774485001816,0.7228915662650602,0.6710659898477157,0.2900317590410819,0.7482908638906153,0.75,2,https://open.spotify.com/track/5Q2pilVN5fcIfzWGF9aGvV,5Q2pilVN5fcIfzWGF9aGvV ,0.1280408992013089
O Pato (The Duck) - Live At Carnegie Hall/1964                                                                                                                                   ,João Gilberto                                   ,0.61869076482257,0.17998335366207935,0.4564571128792515,1.0,0.07101554029634984,0.8785140562248996,0.8395939086294415,0.7039237783014036,0.8953801533043297,0.75,2,https://open.spotify.com/track/1SEK1Yd01136xaLxAe0G70,1SEK1Yd01136xaLxAe0G70 ,0.2125462400259477
August Day Song                                                                                                                                                                  ,Bebel Gilberto                                  ,0.7255895966497685,0.29398566790905856,0.679024219638017,0.0,0.02873147813516444,0.6044176706827309,0.007309644670050761,0.11689376088515523,0.2251916304122643,0.75,5,https://open.spotify.com/track/7fnFmtEpfKLnJRkayFeeZ5,7fnFmtEpfKLnJRkayFeeZ5 ,0.10322571824642691
Os Grilos                                                                                                                                                                        ,Marcos Valle                                    ,0.5657923738152963,0.804996041419641,0.723069860977529,0.0,0.093964582580412,0.3744979919678715,0.4964467005076142,0.07427517672369635,0.6985705407085145,0.75,5,https://open.spotify.com/track/5ZItv6TcaDqcf8Jp2se0po,5ZItv6TcaDqcf8Jp2se0po ,0.09965202724351857
Saudade Fez Um Samba                                                                                                                                                             ,João Gilberto                                   ,0.7123649988979501,0.30298585061276745,0.6498207571915711,1.0,0.05565594506685942,0.820281124497992,0.0,0.07837311750845202,0.8953801533043297,0.75,4,https://open.spotify.com/track/0OIXsw1P2SZvF6T2qsFFzS,0OIXsw1P2SZvF6T2qsFFzS ,0.1696683021896724
OBI                                                                                                                                                                              ,Toots Thielemans                                ,0.5580780251267357,0.31398607391730055,0.5789324123458949,0.0,0.09667509938561618,0.7590361445783133,0.00044873096446700506,0.07540211043950416,0.32877563704164076,0.75,3,https://open.spotify.com/track/1FSrV96XeBhJZQ4qIaOR79,1FSrV96XeBhJZQ4qIaOR79 ,0.056293453966099624
Mas Que Nada                                                                                                                                                                     ,Jorge Ben Jor                                   ,0.4897509367423407,0.5659911896211494,0.806592637929527,0.0,0.01048066498012288,0.5652610441767068,1.7766497461928932e-05,0.08124167605778097,0.573233892686969,0.75,5,https://open.spotify.com/track/418er4nP9ZkcjB8oNzTEgb,418er4nP9ZkcjB8oNzTEgb ,0.385674889011064
Laia Ladia                                                                                                                                                                       ,Brazilian Jazz                                  ,0.3608111086621115,0.46898922048117575,0.6758983999300515,0.0,0.034875316226960607,0.22690763052208837,0.04304568527918781,0.06464501587952055,0.5069401284441682,0.75,5,https://open.spotify.com/track/5BUYtDh62uirLH4vMnE2dA,5BUYtDh62uirLH4vMnE2dA ,0.3492131695866701
Triste                                                                                                                                                                           ,Brazilian Jazz                                  ,0.6065682168834031,0.3399866017280151,0.715943866398531,1.0,0.020599927719551867,0.9096385542168676,0.8720812182741116,0.08872041798996007,0.45514812512948,0.75,2,https://open.spotify.com/track/5v8WqKhW9CBk2WF9PAcSIw,5v8WqKhW9CBk2WF9PAcSIw ,0.38201153311841424
Só Danço Samba                                                                                                                                                                   ,Stan Getz                                       ,0.6076702666960546,0.2789853634028771,0.707659351228469,1.0,0.05926996747379833,0.8413654618473896,0.4446700507614213,0.12304067206228873,0.6809612595815207,0.75,2,https://open.spotify.com/track/4Wzym5Rbnn8Ny8rFqEObm1,4Wzym5Rbnn8Ny8rFqEObm1 ,0.1737538182657933
Samba Triste                                                                                                                                                                     ,Stan Getz                                       ,0.6363235618249945,0.18998355666620034,0.4795838069423799,0.0,0.08131550415612575,0.8443775100401607,0.267005076142132,0.11177133490421065,0.6913196602444582,0.75,3,https://open.spotify.com/track/0KY71RFPZJPqR04jOQFUw2,0KY71RFPZJPqR04jOQFUw2 ,0.1970468540815869
País Tropical                                                                                                                                                                    ,Wilson Simonal                                  ,0.7145690985232532,0.5989918595347486,0.7626562909853982,1.0,0.019877123238164075,0.6957831325301205,0.0,0.29208072943345975,0.929562875492024,0.75,4,https://open.spotify.com/track/5bcc5zWUX4zjCnAvyyuHu4,5bcc5zWUX4zjCnAvyyuHu4 ,0.39331036050577467
Coracao Vagabundo                                                                                                                                                                ,Toots Thielemans                                ,0.5779149217544632,0.05058072678875382,0.5298155110605928,1.0,0.07607517166606431,0.9046184738955824,0.16548223350253807,0.05982993545743265,0.1102133830536565,1.0,2,https://open.spotify.com/track/219DjV3d1L9rHlhNgQ5QQB,219DjV3d1L9rHlhNgQ5QQB ,0.3517896078816263
Pais Tropical                                                                                                                                                                    ,Sergio Mendes & Brasil '66                      ,0.7068547498346924,0.5849915753289793,0.7522733234239748,1.0,0.03939284423563426,0.4859437751004016,0.0,0.8237885462555067,0.8549823907188729,0.75,4,https://open.spotify.com/track/78u9OrQFHqmEWemJQrQQIE,78u9OrQFHqmEWemJQrQQIE ,0.3528286537940515
