name,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,cluster,html,id,sh_score
"Brigas, Nunca Mais                                                                                                                                                             ",João Gilberto                                   ,0.5129265770423992,0.242,0.741025724625868,1.0,0.03616557734204793,0.7048192771084337,0.0,0.1752786220871327,0.7441624365482233,0.8,2,https://open.spotify.com/track/4WfT503LMc9zLewdsok9un,4WfT503LMc9zLewdsok9un ,0.42313811078603564
Aquarela Do Brasil                                                                                                                                                               ,Gal Costa                                       ,0.5718717683557395,0.55,0.7596589612337388,1.0,0.4335511982570806,0.8032128514056226,0.000734010152284264,0.9179331306990882,0.6893401015228426,0.8,2,https://open.spotify.com/track/1wo6p8AMWXREZVowQCa4BC,1wo6p8AMWXREZVowQCa4BC ,0.16991958838637172
Kaipuusamba                                                                                                                                                                      ,Maria Gasolina                                  ,0.5604963805584282,0.224,0.7152358905806788,1.0,0.06481481481481481,0.7771084337349399,0.09005076142131979,0.11550151975683892,0.5401015228426396,0.8,2,https://open.spotify.com/track/1htDFdG7K6pW07cuIanjGG,1htDFdG7K6pW07cuIanjGG ,0.4891928525498
Batida Diferente                                                                                                                                                                 ,Cannonball Adderley                             ,0.62564632885212,0.485,0.8001369371719214,1.0,0.05577342047930283,0.8795180722891567,0.8538071065989847,0.12765957446808512,0.7045685279187817,0.8,4,https://open.spotify.com/track/09VxH0oobfXR1bRXZ78VXP,09VxH0oobfXR1bRXZ78VXP ,0.17556858803044906
Team Zissou                                                                                                                                                                      ,Seu Jorge                                       ,0.6401240951396071,0.402,0.7896873267907796,1.0,0.038562091503267976,0.8734939759036146,0.07126903553299492,0.09868287740628166,0.8040609137055837,0.8,2,https://open.spotify.com/track/7bM4h5zu7FkChGbSeozZVN,7bM4h5zu7FkChGbSeozZVN ,0.4242804038814685
Parabens                                                                                                                                                                         ,Marcos Valle                                    ,0.7621509824198552,0.802,0.8465814613152489,1.0,0.04618736383442266,0.014658634538152611,0.3512690355329949,0.09088145896656535,0.48324873096446697,0.8,1,https://open.spotify.com/track/596scNUBRpj2AygfaBVyTj,596scNUBRpj2AygfaBVyTj ,0.2587895058460748
O Amor Em Paz                                                                                                                                                                    ,Cannonball Adderley                             ,0.7052740434332989,0.281,0.7737439274885071,0.0,0.03714596949891067,0.9769076305220884,0.8974619289340101,0.1165146909827761,0.4426395939086294,0.8,6,https://open.spotify.com/track/4PwzeZs0cTVuzZbCmw85hc,4PwzeZs0cTVuzZbCmw85hc ,0.4037178239603699
Once Again                                                                                                                                                                       ,Stan Getz                                       ,0.6442605997931748,0.331,0.7442535293925858,1.0,0.04052287581699346,0.8493975903614458,0.07928934010152285,0.07902735562310031,0.5918781725888325,0.8,2,https://open.spotify.com/track/22QBm5IGpx49Ggg7b0DMhL,22QBm5IGpx49Ggg7b0DMhL ,0.48339049104357573
Mariana                                                                                                                                                                          ,Bïa                                             ,0.859358841778697,0.43,0.8442176648951778,0.0,0.11220043572984749,0.5060240963855422,0.0,0.23606889564336375,0.8284263959390862,0.8,5,https://open.spotify.com/track/4Lx7fiZRVb7j4U1xFZ9fyo,4Lx7fiZRVb7j4U1xFZ9fyo ,0.42553883537015214
Mariana                                                                                                                                                                          ,Seu Jorge                                       ,0.6380558428128232,0.526,0.8047015095693,0.0,0.040958605664488015,0.5401606425702812,0.3949238578680203,0.10638297872340426,0.9451776649746193,0.8,5,https://open.spotify.com/track/2BkIiZYOniMrWBBlADyVNX,2BkIiZYOniMrWBBlADyVNX ,0.2520763672409386
